run_id,date,report_id,status,duration_minutes,sla_met,rows_processed,failure_reason
RUN-RPT001-030,2026-04-20,RPT001,Failed,19.5,No,79569,none
RUN-RPT001-031,2026-04-21,RPT001,Succeeded,73.2,No,276500,none
RUN-RPT001-032,2026-04-22,RPT001,Succeeded,60.0,Yes,298428,none
RUN-RPT001-033,2026-04-23,RPT001,Succeeded,48.0,Yes,180837,none
RUN-RPT001-034,2026-04-24,RPT001,Succeeded,29.1,Yes,842556,none
RUN-RPT001-035,2026-04-25,RPT001,Succeeded,59.5,Yes,615592,none
RUN-RPT001-036,2026-04-26,RPT001,Succeeded,30.8,Yes,651860,none
RUN-RPT001-037,2026-04-27,RPT001,Succeeded,85.9,No,901659,none
RUN-RPT001-038,2026-04-28,RPT001,Succeeded,52.1,Yes,199718,none
RUN-RPT001-039,2026-04-29,RPT001,Succeeded,24.8,Yes,534960,none
RUN-RPT001-040,2026-04-30,RPT001,Succeeded,33.0,Yes,478795,none
RUN-RPT001-041,2026-05-01,RPT001,Succeeded,54.0,Yes,909296,none
RUN-RPT001-042,2026-05-02,RPT001,Succeeded,67.4,Yes,187241,none
RUN-RPT001-043,2026-05-03,RPT001,Warning,92.0,No,922393,none
RUN-RPT001-044,2026-05-04,RPT001,Warning,19.3,Yes,125334,none
RUN-RPT001-045,2026-05-05,RPT001,Succeeded,87.9,No,763004,none
RUN-RPT001-046,2026-05-06,RPT001,Failed,66.0,No,60399,credential expiry
RUN-RPT001-047,2026-05-07,RPT001,Succeeded,41.9,Yes,122122,none
RUN-RPT001-048,2026-05-08,RPT001,Failed,56.1,No,260647,capacity queue
RUN-RPT001-049,2026-05-09,RPT001,Failed,18.7,No,34680,credential expiry
RUN-RPT001-050,2026-05-10,RPT001,Failed,19.8,No,929683,gateway timeout
RUN-RPT001-051,2026-05-11,RPT001,Succeeded,60.5,Yes,517990,none
RUN-RPT001-052,2026-05-12,RPT001,Succeeded,33.4,Yes,634208,none
RUN-RPT001-053,2026-05-13,RPT001,Succeeded,77.0,No,481841,none
RUN-RPT001-054,2026-05-14,RPT001,Warning,86.3,No,522909,none
RUN-RPT001-055,2026-05-15,RPT001,Succeeded,23.9,Yes,351809,none
RUN-RPT001-056,2026-05-16,RPT001,Succeeded,26.9,Yes,877747,none
RUN-RPT001-057,2026-05-17,RPT001,Succeeded,84.6,No,784937,none
RUN-RPT001-058,2026-05-18,RPT001,Succeeded,70.2,Yes,655441,none
RUN-RPT001-059,2026-05-19,RPT001,Succeeded,72.9,No,101688,none
RUN-RPT002-000,2026-03-21,RPT002,Succeeded,38.0,Yes,30498,none
RUN-RPT002-001,2026-03-22,RPT002,Failed,8.1,No,480445,gateway timeout
RUN-RPT002-002,2026-03-23,RPT002,Failed,24.9,No,676539,none
RUN-RPT002-003,2026-03-24,RPT002,Warning,94.7,No,937819,none
RUN-RPT002-004,2026-03-25,RPT002,Succeeded,76.5,No,245096,none
RUN-RPT002-005,2026-03-26,RPT002,Succeeded,13.9,Yes,517544,none
RUN-RPT002-006,2026-03-27,RPT002,Succeeded,92.4,No,208332,none
RUN-RPT002-007,2026-03-28,RPT002,Failed,57.4,No,221995,source delay
RUN-RPT002-008,2026-03-29,RPT002,Succeeded,27.3,Yes,72252,none
RUN-RPT002-009,2026-03-30,RPT002,Succeeded,26.2,Yes,507761,none
RUN-RPT002-010,2026-03-31,RPT002,Succeeded,80.2,No,128572,none
RUN-RPT002-011,2026-04-01,RPT002,Succeeded,61.3,Yes,306523,none
RUN-RPT002-012,2026-04-02,RPT002,Succeeded,72.6,No,72181,none
RUN-RPT002-013,2026-04-03,RPT002,Warning,74.7,No,720379,none
RUN-RPT002-014,2026-04-04,RPT002,Succeeded,40.5,Yes,569011,none
RUN-RPT002-015,2026-04-05,RPT002,Succeeded,55.3,Yes,18271,none
RUN-RPT002-016,2026-04-06,RPT002,Succeeded,49.1,Yes,46855,none
RUN-RPT002-017,2026-04-07,RPT002,Succeeded,62.7,Yes,931740,none
RUN-RPT002-018,2026-04-08,RPT002,Succeeded,73.5,No,382033,none
RUN-RPT002-019,2026-04-09,RPT002,Succeeded,59.9,Yes,615934,none
RUN-RPT002-020,2026-04-10,RPT002,Succeeded,11.3,Yes,237891,none
RUN-RPT002-021,2026-04-11,RPT002,Failed,36.5,No,668831,capacity queue
RUN-RPT002-022,2026-04-12,RPT002,Succeeded,48.4,Yes,138573,none
RUN-RPT002-023,2026-04-13,RPT002,Succeeded,46.8,Yes,225304,none
RUN-RPT002-024,2026-04-14,RPT002,Succeeded,9.2,Yes,850952,none
RUN-RPT002-025,2026-04-15,RPT002,Succeeded,8.3,Yes,88294,none
RUN-RPT002-026,2026-04-16,RPT002,Succeeded,9.0,Yes,145678,none
RUN-RPT002-027,2026-04-17,RPT002,Succeeded,89.1,No,483255,none
RUN-RPT002-028,2026-04-18,RPT002,Warning,55.5,Yes,699182,none
RUN-RPT002-029,2026-04-19,RPT002,Warning,69.0,Yes,358306,none
RUN-RPT002-030,2026-04-20,RPT002,Succeeded,55.1,Yes,634249,none
RUN-RPT002-031,2026-04-21,RPT002,Succeeded,73.5,No,369543,none
RUN-RPT002-032,2026-04-22,RPT002,Failed,61.8,No,477001,gateway timeout
RUN-RPT002-033,2026-04-23,RPT002,Succeeded,42.0,Yes,728048,none
RUN-RPT002-034,2026-04-24,RPT002,Warning,46.7,Yes,373589,none
RUN-RPT002-035,2026-04-25,RPT002,Failed,87.3,No,320024,none
RUN-RPT002-036,2026-04-26,RPT002,Failed,34.8,No,254941,none
RUN-RPT002-037,2026-04-27,RPT002,Succeeded,74.6,No,66218,none
RUN-RPT002-038,2026-04-28,RPT002,Warning,67.9,Yes,171340,none
RUN-RPT002-039,2026-04-29,RPT002,Failed,84.3,No,291458,none
RUN-RPT002-040,2026-04-30,RPT002,Succeeded,33.7,Yes,918007,none
RUN-RPT002-041,2026-05-01,RPT002,Warning,32.9,Yes,840200,none
RUN-RPT002-042,2026-05-02,RPT002,Warning,90.4,No,488949,none
RUN-RPT002-043,2026-05-03,RPT002,Warning,10.9,Yes,609019,none
RUN-RPT002-044,2026-05-04,RPT002,Succeeded,80.6,No,576784,none
RUN-RPT002-045,2026-05-05,RPT002,Succeeded,31.6,Yes,805940,none
RUN-RPT002-046,2026-05-06,RPT002,Failed,42.4,No,868443,schema drift
RUN-RPT002-047,2026-05-07,RPT002,Warning,21.2,Yes,321769,none
RUN-RPT002-048,2026-05-08,RPT002,Succeeded,51.8,Yes,702844,none
RUN-RPT002-049,2026-05-09,RPT002,Succeeded,54.8,Yes,245149,none
RUN-RPT002-050,2026-05-10,RPT002,Succeeded,12.6,Yes,310279,none
RUN-RPT002-051,2026-05-11,RPT002,Succeeded,84.5,No,470104,none
RUN-RPT002-052,2026-05-12,RPT002,Succeeded,39.0,Yes,289245,none
RUN-RPT002-053,2026-05-13,RPT002,Warning,93.8,No,591132,none
RUN-RPT002-054,2026-05-14,RPT002,Failed,46.3,No,324944,source delay
RUN-RPT002-055,2026-05-15,RPT002,Warning,59.3,Yes,379297,none
RUN-RPT002-056,2026-05-16,RPT002,Failed,52.3,No,486772,credential expiry
RUN-RPT002-057,2026-05-17,RPT002,Warning,58.5,Yes,749111,none
RUN-RPT002-058,2026-05-18,RPT002,Succeeded,20.1,Yes,892176,none
RUN-RPT002-059,2026-05-19,RPT002,Succeeded,75.6,No,718690,none
RUN-RPT003-000,2026-03-21,RPT003,Warning,71.1,Yes,236463,none
RUN-RPT003-001,2026-03-22,RPT003,Succeeded,75.5,No,165831,none
RUN-RPT003-002,2026-03-23,RPT003,Succeeded,85.5,No,93880,none
RUN-RPT003-003,2026-03-24,RPT003,Succeeded,29.7,Yes,597408,none
RUN-RPT003-004,2026-03-25,RPT003,Succeeded,47.8,Yes,843933,none
RUN-RPT003-005,2026-03-26,RPT003,Succeeded,40.0,Yes,757916,none
RUN-RPT003-006,2026-03-27,RPT003,Warning,37.6,Yes,417148,none
RUN-RPT003-007,2026-03-28,RPT003,Failed,58.5,No,840587,none
RUN-RPT003-008,2026-03-29,RPT003,Succeeded,84.2,No,532961,none
RUN-RPT003-009,2026-03-30,RPT003,Succeeded,26.5,Yes,749679,none
RUN-RPT003-010,2026-03-31,RPT003,Succeeded,10.7,Yes,94729,none
RUN-RPT003-011,2026-04-01,RPT003,Warning,92.9,No,372814,none
RUN-RPT003-012,2026-04-02,RPT003,Succeeded,18.9,Yes,472749,none
RUN-RPT003-013,2026-04-03,RPT003,Warning,54.6,Yes,925797,none
RUN-RPT003-014,2026-04-04,RPT003,Succeeded,46.4,Yes,790136,none
RUN-RPT003-015,2026-04-05,RPT003,Succeeded,11.8,Yes,44103,none
RUN-RPT003-016,2026-04-06,RPT003,Succeeded,89.7,No,889959,none
RUN-RPT003-017,2026-04-07,RPT003,Warning,28.8,Yes,50911,none
RUN-RPT003-018,2026-04-08,RPT003,Succeeded,76.2,No,783011,none
RUN-RPT003-019,2026-04-09,RPT003,Succeeded,50.5,Yes,315493,none
RUN-RPT003-020,2026-04-10,RPT003,Succeeded,56.7,Yes,710393,none
RUN-RPT003-021,2026-04-11,RPT003,Warning,79.9,No,267940,none
RUN-RPT003-022,2026-04-12,RPT003,Warning,69.1,Yes,213515,none
RUN-RPT003-023,2026-04-13,RPT003,Warning,86.9,No,760258,none
RUN-RPT003-024,2026-04-14,RPT003,Succeeded,34.2,Yes,792953,none
RUN-RPT003-025,2026-04-15,RPT003,Warning,92.6,No,467925,none
RUN-RPT003-026,2026-04-16,RPT003,Warning,21.0,Yes,340548,none
RUN-RPT003-027,2026-04-17,RPT003,Succeeded,22.8,Yes,943241,none
RUN-RPT003-028,2026-04-18,RPT003,Succeeded,13.5,Yes,779049,none
RUN-RPT003-029,2026-04-19,RPT003,Warning,51.8,Yes,199530,none
RUN-RPT003-030,2026-04-20,RPT003,Succeeded,69.7,Yes,104148,none
RUN-RPT003-031,2026-04-21,RPT003,Succeeded,19.9,Yes,622233,none
RUN-RPT003-032,2026-04-22,RPT003,Succeeded,80.6,No,146631,none
RUN-RPT003-033,2026-04-23,RPT003,Succeeded,76.3,No,501420,none
RUN-RPT003-034,2026-04-24,RPT003,Succeeded,18.7,Yes,711965,none
RUN-RPT003-035,2026-04-25,RPT003,Succeeded,33.2,Yes,554300,none
RUN-RPT003-036,2026-04-26,RPT003,Warning,75.9,No,493402,none
RUN-RPT003-037,2026-04-27,RPT003,Succeeded,50.0,Yes,888368,none
RUN-RPT003-038,2026-04-28,RPT003,Warning,31.1,Yes,699473,none
RUN-RPT003-039,2026-04-29,RPT003,Succeeded,42.0,Yes,348983,none
RUN-RPT003-040,2026-04-30,RPT003,Succeeded,59.3,Yes,622745,none
RUN-RPT003-041,2026-05-01,RPT003,Succeeded,16.6,Yes,406584,none
RUN-RPT003-042,2026-05-02,RPT003,Warning,42.9,Yes,806356,none
RUN-RPT003-043,2026-05-03,RPT003,Warning,89.1,No,772530,none
RUN-RPT003-044,2026-05-04,RPT003,Succeeded,42.9,Yes,522006,none
RUN-RPT003-045,2026-05-05,RPT003,Succeeded,12.1,Yes,149829,none
RUN-RPT003-046,2026-05-06,RPT003,Failed,66.4,No,376637,none
RUN-RPT003-047,2026-05-07,RPT003,Succeeded,45.9,Yes,941233,none
RUN-RPT003-048,2026-05-08,RPT003,Warning,24.1,Yes,399426,none
RUN-RPT003-049,2026-05-09,RPT003,Warning,57.9,Yes,572927,none
RUN-RPT003-050,2026-05-10,RPT003,Warning,56.6,Yes,168566,none
RUN-RPT003-051,2026-05-11,RPT003,Succeeded,34.0,Yes,166628,none
RUN-RPT003-052,2026-05-12,RPT003,Succeeded,45.5,Yes,743972,none
RUN-RPT003-053,2026-05-13,RPT003,Succeeded,85.5,No,641810,none
RUN-RPT003-054,2026-05-14,RPT003,Succeeded,48.7,Yes,694703,none
RUN-RPT003-055,2026-05-15,RPT003,Succeeded,76.3,No,54386,none
RUN-RPT003-056,2026-05-16,RPT003,Succeeded,77.6,No,338119,none
RUN-RPT003-057,2026-05-17,RPT003,Succeeded,91.5,No,630532,none
RUN-RPT003-058,2026-05-18,RPT003,Failed,22.1,No,926822,source delay
RUN-RPT003-059,2026-05-19,RPT003,Succeeded,12.8,Yes,588410,none
RUN-RPT004-000,2026-03-21,RPT004,Succeeded,95.0,No,271560,none
RUN-RPT004-001,2026-03-22,RPT004,Succeeded,86.0,No,135480,none
RUN-RPT004-002,2026-03-23,RPT004,Succeeded,52.2,Yes,437937,none
RUN-RPT004-003,2026-03-24,RPT004,Succeeded,51.7,Yes,377806,none
RUN-RPT004-004,2026-03-25,RPT004,Succeeded,35.8,Yes,748364,none
RUN-RPT004-005,2026-03-26,RPT004,Warning,21.4,Yes,127410,none
RUN-RPT004-006,2026-03-27,RPT004,Warning,32.1,Yes,656176,none
RUN-RPT004-007,2026-03-28,RPT004,Warning,30.0,Yes,759879,none
RUN-RPT004-008,2026-03-29,RPT004,Succeeded,26.4,Yes,493074,none
RUN-RPT004-009,2026-03-30,RPT004,Succeeded,84.5,No,699749,none
RUN-RPT004-010,2026-03-31,RPT004,Succeeded,70.0,Yes,706632,none
RUN-RPT004-011,2026-04-01,RPT004,Warning,38.4,Yes,462820,none
RUN-RPT004-012,2026-04-02,RPT004,Succeeded,45.6,Yes,706966,none
RUN-RPT004-013,2026-04-03,RPT004,Succeeded,78.3,No,763108,none
RUN-RPT004-014,2026-04-04,RPT004,Succeeded,54.7,Yes,89609,none
RUN-RPT004-015,2026-04-05,RPT004,Succeeded,54.4,Yes,360906,none
RUN-RPT004-016,2026-04-06,RPT004,Succeeded,41.7,Yes,744139,none
RUN-RPT004-017,2026-04-07,RPT004,Succeeded,61.5,Yes,830555,none
RUN-RPT004-018,2026-04-08,RPT004,Succeeded,71.9,Yes,294548,none
RUN-RPT004-019,2026-04-09,RPT004,Succeeded,89.3,No,682609,none
RUN-RPT004-020,2026-04-10,RPT004,Succeeded,69.2,Yes,638663,none
RUN-RPT004-021,2026-04-11,RPT004,Succeeded,77.7,No,162061,none
RUN-RPT004-022,2026-04-12,RPT004,Succeeded,82.8,No,526817,none
RUN-RPT004-023,2026-04-13,RPT004,Warning,47.8,Yes,522770,none
RUN-RPT004-024,2026-04-14,RPT004,Succeeded,80.9,No,112849,none
RUN-RPT004-025,2026-04-15,RPT004,Warning,8.3,Yes,870691,none
RUN-RPT004-026,2026-04-16,RPT004,Succeeded,74.0,No,915645,none
RUN-RPT004-027,2026-04-17,RPT004,Succeeded,66.8,Yes,895327,none
RUN-RPT004-028,2026-04-18,RPT004,Failed,55.0,No,710488,schema drift
RUN-RPT004-029,2026-04-19,RPT004,Succeeded,87.6,No,831533,none
RUN-RPT004-030,2026-04-20,RPT004,Succeeded,39.8,Yes,617923,none
RUN-RPT004-031,2026-04-21,RPT004,Succeeded,31.8,Yes,784519,none
RUN-RPT004-032,2026-04-22,RPT004,Succeeded,22.9,Yes,873123,none
RUN-RPT004-033,2026-04-23,RPT004,Succeeded,31.5,Yes,175815,none
RUN-RPT004-034,2026-04-24,RPT004,Failed,42.0,No,463668,schema drift
RUN-RPT004-035,2026-04-25,RPT004,Succeeded,76.9,No,729053,none
RUN-RPT004-036,2026-04-26,RPT004,Succeeded,53.4,Yes,215772,none
RUN-RPT004-037,2026-04-27,RPT004,Succeeded,41.3,Yes,270268,none
RUN-RPT004-038,2026-04-28,RPT004,Succeeded,15.9,Yes,33197,none
RUN-RPT004-039,2026-04-29,RPT004,Succeeded,64.0,Yes,346591,none
RUN-RPT004-040,2026-04-30,RPT004,Succeeded,59.8,Yes,86729,none
RUN-RPT004-041,2026-05-01,RPT004,Succeeded,85.8,No,165999,none
RUN-RPT004-042,2026-05-02,RPT004,Succeeded,54.0,Yes,807602,none
RUN-RPT004-043,2026-05-03,RPT004,Succeeded,12.3,Yes,405000,none
RUN-RPT004-044,2026-05-04,RPT004,Failed,91.1,No,647406,gateway timeout
RUN-RPT004-045,2026-05-05,RPT004,Succeeded,29.5,Yes,558531,none
RUN-RPT004-046,2026-05-06,RPT004,Warning,58.8,Yes,43630,none
RUN-RPT004-047,2026-05-07,RPT004,Succeeded,31.5,Yes,843999,none
RUN-RPT004-048,2026-05-08,RPT004,Succeeded,10.1,Yes,508793,none
RUN-RPT004-049,2026-05-09,RPT004,Succeeded,66.2,Yes,265054,none
RUN-RPT004-050,2026-05-10,RPT004,Succeeded,69.1,Yes,153495,none
RUN-RPT004-051,2026-05-11,RPT004,Succeeded,50.5,Yes,531297,none
RUN-RPT004-052,2026-05-12,RPT004,Warning,37.9,Yes,435162,none
RUN-RPT004-053,2026-05-13,RPT004,Succeeded,19.1,Yes,516928,none
RUN-RPT004-054,2026-05-14,RPT004,Succeeded,37.4,Yes,602493,none
RUN-RPT004-055,2026-05-15,RPT004,Succeeded,33.1,Yes,206454,none
RUN-RPT004-056,2026-05-16,RPT004,Succeeded,43.3,Yes,374081,none
RUN-RPT004-057,2026-05-17,RPT004,Succeeded,29.5,Yes,855431,none
RUN-RPT004-058,2026-05-18,RPT004,Succeeded,72.8,No,654712,none
RUN-RPT004-059,2026-05-19,RPT004,Succeeded,48.3,Yes,890697,none
RUN-RPT005-000,2026-03-21,RPT005,Succeeded,14.0,Yes,690838,none
RUN-RPT005-001,2026-03-22,RPT005,Succeeded,85.0,No,685510,none
RUN-RPT005-002,2026-03-23,RPT005,Succeeded,12.4,Yes,513504,none
RUN-RPT005-003,2026-03-24,RPT005,Succeeded,72.5,No,546740,none
RUN-RPT005-004,2026-03-25,RPT005,Warning,33.1,Yes,514138,none
RUN-RPT005-005,2026-03-26,RPT005,Succeeded,69.3,Yes,889729,none
RUN-RPT005-006,2026-03-27,RPT005,Succeeded,83.2,No,249784,none
RUN-RPT005-007,2026-03-28,RPT005,Succeeded,17.7,Yes,173229,none
RUN-RPT005-008,2026-03-29,RPT005,Succeeded,38.2,Yes,612919,none
RUN-RPT005-009,2026-03-30,RPT005,Warning,39.5,Yes,718404,none
RUN-RPT005-010,2026-03-31,RPT005,Succeeded,90.6,No,106369,none
RUN-RPT005-011,2026-04-01,RPT005,Succeeded,15.8,Yes,203886,none
RUN-RPT005-012,2026-04-02,RPT005,Failed,88.6,No,428618,none
RUN-RPT005-013,2026-04-03,RPT005,Succeeded,36.3,Yes,66085,none
RUN-RPT005-014,2026-04-04,RPT005,Failed,32.0,No,281642,gateway timeout
RUN-RPT005-015,2026-04-05,RPT005,Warning,84.3,No,298017,none
RUN-RPT005-016,2026-04-06,RPT005,Succeeded,26.3,Yes,803119,none
RUN-RPT005-017,2026-04-07,RPT005,Warning,78.3,No,634813,none
RUN-RPT005-018,2026-04-08,RPT005,Succeeded,20.8,Yes,680218,none
RUN-RPT005-019,2026-04-09,RPT005,Failed,62.7,No,191172,schema drift
RUN-RPT005-020,2026-04-10,RPT005,Succeeded,51.5,Yes,182847,none
RUN-RPT005-021,2026-04-11,RPT005,Warning,12.1,Yes,589858,none
RUN-RPT005-022,2026-04-12,RPT005,Succeeded,50.0,Yes,648807,none
RUN-RPT005-023,2026-04-13,RPT005,Succeeded,24.4,Yes,246639,none
RUN-RPT005-024,2026-04-14,RPT005,Failed,11.8,No,63495,source delay
RUN-RPT005-025,2026-04-15,RPT005,Succeeded,26.4,Yes,376724,none
RUN-RPT005-026,2026-04-16,RPT005,Warning,82.9,No,485606,none
RUN-RPT005-027,2026-04-17,RPT005,Succeeded,32.7,Yes,596319,none
RUN-RPT005-028,2026-04-18,RPT005,Succeeded,49.7,Yes,502988,none
RUN-RPT005-029,2026-04-19,RPT005,Succeeded,29.0,Yes,860452,none
RUN-RPT005-030,2026-04-20,RPT005,Succeeded,26.8,Yes,764311,none
RUN-RPT005-031,2026-04-21,RPT005,Warning,40.9,Yes,915235,none
RUN-RPT005-032,2026-04-22,RPT005,Succeeded,32.8,Yes,368418,none
RUN-RPT005-033,2026-04-23,RPT005,Succeeded,43.7,Yes,367067,none
RUN-RPT005-034,2026-04-24,RPT005,Succeeded,35.2,Yes,346814,none
RUN-RPT005-035,2026-04-25,RPT005,Succeeded,73.8,No,131482,none
RUN-RPT005-036,2026-04-26,RPT005,Warning,81.4,No,433113,none
RUN-RPT005-037,2026-04-27,RPT005,Succeeded,41.6,Yes,626085,none
RUN-RPT005-038,2026-04-28,RPT005,Succeeded,76.6,No,61804,none
RUN-RPT005-039,2026-04-29,RPT005,Succeeded,63.7,Yes,757601,none
RUN-RPT005-040,2026-04-30,RPT005,Succeeded,72.7,No,209195,none
RUN-RPT005-041,2026-05-01,RPT005,Succeeded,42.4,Yes,558894,none
RUN-RPT005-042,2026-05-02,RPT005,Succeeded,20.2,Yes,609348,none
RUN-RPT005-043,2026-05-03,RPT005,Succeeded,92.5,No,359906,none
RUN-RPT005-044,2026-05-04,RPT005,Succeeded,31.1,Yes,521271,none
RUN-RPT005-045,2026-05-05,RPT005,Succeeded,63.1,Yes,493171,none
RUN-RPT005-046,2026-05-06,RPT005,Warning,28.0,Yes,451284,none
RUN-RPT005-047,2026-05-07,RPT005,Failed,14.1,No,168912,schema drift
RUN-RPT005-048,2026-05-08,RPT005,Warning,13.0,Yes,66484,none
RUN-RPT005-049,2026-05-09,RPT005,Warning,27.2,Yes,180797,none
RUN-RPT005-050,2026-05-10,RPT005,Succeeded,56.7,Yes,34925,none
RUN-RPT005-051,2026-05-11,RPT005,Succeeded,25.4,Yes,344523,none
RUN-RPT005-052,2026-05-12,RPT005,Succeeded,66.4,Yes,192268,none
RUN-RPT005-053,2026-05-13,RPT005,Succeeded,40.1,Yes,769094,none
RUN-RPT005-054,2026-05-14,RPT005,Succeeded,66.0,Yes,613345,none
RUN-RPT005-055,2026-05-15,RPT005,Succeeded,19.6,Yes,44819,none
RUN-RPT005-056,2026-05-16,RPT005,Succeeded,45.6,Yes,225761,none
RUN-RPT005-057,2026-05-17,RPT005,Warning,88.1,No,582655,none
RUN-RPT005-058,2026-05-18,RPT005,Succeeded,65.4,Yes,806030,none
RUN-RPT005-059,2026-05-19,RPT005,Succeeded,47.8,Yes,70740,none
RUN-RPT006-000,2026-03-21,RPT006,Succeeded,46.1,Yes,343796,none
RUN-RPT006-001,2026-03-22,RPT006,Warning,45.5,Yes,413612,none
RUN-RPT006-002,2026-03-23,RPT006,Succeeded,67.8,Yes,470386,none
RUN-RPT006-003,2026-03-24,RPT006,Succeeded,79.3,No,238580,none
RUN-RPT006-004,2026-03-25,RPT006,Succeeded,52.0,Yes,782177,none
RUN-RPT006-005,2026-03-26,RPT006,Failed,36.4,No,625420,gateway timeout
RUN-RPT006-006,2026-03-27,RPT006,Succeeded,63.1,Yes,616594,none
RUN-RPT006-007,2026-03-28,RPT006,Warning,24.0,Yes,611038,none
RUN-RPT006-008,2026-03-29,RPT006,Succeeded,20.7,Yes,361297,none
RUN-RPT006-009,2026-03-30,RPT006,Warning,78.9,No,274951,none
RUN-RPT006-010,2026-03-31,RPT006,Warning,34.5,Yes,584542,none
RUN-RPT006-011,2026-04-01,RPT006,Succeeded,60.7,Yes,514581,none
RUN-RPT006-012,2026-04-02,RPT006,Succeeded,71.3,Yes,508235,none
RUN-RPT006-013,2026-04-03,RPT006,Succeeded,75.9,No,283620,none
RUN-RPT006-014,2026-04-04,RPT006,Warning,84.1,No,454404,none
RUN-RPT006-015,2026-04-05,RPT006,Succeeded,12.0,Yes,330750,none
RUN-RPT006-016,2026-04-06,RPT006,Succeeded,72.7,No,591409,none
RUN-RPT006-017,2026-04-07,RPT006,Failed,40.9,No,556131,schema drift
RUN-RPT006-018,2026-04-08,RPT006,Warning,78.8,No,812559,none
RUN-RPT006-019,2026-04-09,RPT006,Warning,53.2,Yes,664000,none
RUN-RPT006-020,2026-04-10,RPT006,Succeeded,31.7,Yes,651414,none
RUN-RPT006-021,2026-04-11,RPT006,Succeeded,30.2,Yes,808533,none
RUN-RPT006-022,2026-04-12,RPT006,Succeeded,89.4,No,105435,none
RUN-RPT006-023,2026-04-13,RPT006,Succeeded,45.2,Yes,455348,none
RUN-RPT006-024,2026-04-14,RPT006,Succeeded,28.0,Yes,304337,none
RUN-RPT006-025,2026-04-15,RPT006,Failed,56.8,No,584474,gateway timeout
RUN-RPT006-026,2026-04-16,RPT006,Succeeded,28.5,Yes,588911,none
RUN-RPT006-027,2026-04-17,RPT006,Warning,10.4,Yes,625442,none
RUN-RPT006-028,2026-04-18,RPT006,Warning,31.3,Yes,632063,none
RUN-RPT006-029,2026-04-19,RPT006,Failed,19.8,No,891022,gateway timeout
RUN-RPT006-030,2026-04-20,RPT006,Succeeded,51.0,Yes,680320,none
RUN-RPT006-031,2026-04-21,RPT006,Succeeded,55.9,Yes,113482,none
RUN-RPT006-032,2026-04-22,RPT006,Succeeded,84.3,No,856649,none
RUN-RPT006-033,2026-04-23,RPT006,Failed,41.5,No,118453,capacity queue
RUN-RPT006-034,2026-04-24,RPT006,Succeeded,23.7,Yes,675649,none
RUN-RPT006-035,2026-04-25,RPT006,Succeeded,58.5,Yes,177281,none
RUN-RPT006-036,2026-04-26,RPT006,Succeeded,88.8,No,871214,none
RUN-RPT006-037,2026-04-27,RPT006,Succeeded,63.4,Yes,729867,none
RUN-RPT006-038,2026-04-28,RPT006,Failed,74.8,No,640484,capacity queue
