request_id,report_id,request_type,stakeholder_group,priority,age_days,status,requirement_clarity,service_action
REQ-RPT016-8,RPT016,data anomaly,commercial leadership,High,26,Closed,Ambiguous,create stakeholder FAQ
REQ-RPT017-1,RPT017,data anomaly,national customer team,Low,25,In review,Needs acceptance criteria,add SQL validation evidence
REQ-RPT017-2,RPT017,access,national customer team,Medium,29,Open,Ambiguous,separate one-off extract from recurring report
REQ-RPT017-3,RPT017,training,national customer team,Low,4,Waiting on stakeholder,Clear,publish annotated workbook
REQ-RPT017-4,RPT017,access,national customer team,Critical,30,Closed,Needs acceptance criteria,create stakeholder FAQ
REQ-RPT017-5,RPT017,performance,national customer team,High,38,In review,Ambiguous,publish annotated workbook
REQ-RPT018-1,RPT018,training,bottler finance leads,Critical,31,In review,Needs acceptance criteria,schedule metric walkthrough
REQ-RPT018-2,RPT018,performance,bottler finance leads,Critical,31,Waiting on stakeholder,Needs acceptance criteria,create stakeholder FAQ
REQ-RPT018-3,RPT018,performance,bottler finance leads,Low,9,Open,Ambiguous,add SQL validation evidence
REQ-RPT018-4,RPT018,training,bottler finance leads,High,43,Open,Clear,confirm business owner
REQ-RPT018-5,RPT018,definition clarification,bottler finance leads,High,20,In review,Ambiguous,separate one-off extract from recurring report
REQ-RPT019-1,RPT019,data anomaly,category management,Critical,38,Closed,Needs acceptance criteria,confirm business owner
REQ-RPT019-2,RPT019,training,category management,Low,16,Closed,Needs acceptance criteria,create stakeholder FAQ
REQ-RPT019-3,RPT019,training,category management,Critical,33,Closed,Ambiguous,schedule metric walkthrough
REQ-RPT019-4,RPT019,performance,category management,Critical,34,Closed,Clear,confirm business owner
REQ-RPT019-5,RPT019,new metric,category management,High,8,In review,Needs acceptance criteria,confirm business owner
REQ-RPT019-6,RPT019,new metric,category management,High,40,Open,Ambiguous,add SQL validation evidence
REQ-RPT019-7,RPT019,custom extract,category management,High,17,Closed,Needs acceptance criteria,publish annotated workbook
REQ-RPT019-8,RPT019,access,category management,Low,29,In review,Needs acceptance criteria,add SQL validation evidence
REQ-RPT020-1,RPT020,training,field sales operations,Medium,31,Closed,Clear,schedule metric walkthrough
REQ-RPT020-2,RPT020,performance,field sales operations,High,17,Closed,Ambiguous,publish annotated workbook
REQ-RPT020-3,RPT020,performance,field sales operations,Critical,18,Open,Needs acceptance criteria,add SQL validation evidence
REQ-RPT020-4,RPT020,new metric,field sales operations,Medium,40,Open,Needs acceptance criteria,create stakeholder FAQ
REQ-RPT020-5,RPT020,custom extract,field sales operations,Low,16,Closed,Ambiguous,publish annotated workbook
REQ-RPT020-6,RPT020,performance,field sales operations,Low,15,Waiting on stakeholder,Needs acceptance criteria,confirm business owner
REQ-RPT021-1,RPT021,performance,supply planning,Low,44,Open,Ambiguous,separate one-off extract from recurring report
REQ-RPT021-2,RPT021,definition clarification,supply planning,High,35,Closed,Needs acceptance criteria,create stakeholder FAQ
REQ-RPT021-3,RPT021,new metric,supply planning,Critical,23,Open,Clear,publish annotated workbook
REQ-RPT021-4,RPT021,performance,supply planning,Medium,39,In review,Needs acceptance criteria,create stakeholder FAQ
REQ-RPT021-5,RPT021,access,supply planning,Critical,20,Closed,Clear,schedule metric walkthrough
REQ-RPT021-6,RPT021,custom extract,supply planning,Critical,31,Open,Ambiguous,create stakeholder FAQ
REQ-RPT021-7,RPT021,data anomaly,supply planning,Critical,27,Closed,Ambiguous,confirm business owner
REQ-RPT021-8,RPT021,access,supply planning,Low,26,In review,Clear,confirm business owner
REQ-RPT022-1,RPT022,data anomaly,commercial leadership,Low,16,Open,Clear,publish annotated workbook
REQ-RPT022-2,RPT022,definition clarification,commercial leadership,Critical,9,Waiting on stakeholder,Ambiguous,confirm business owner
REQ-RPT022-3,RPT022,performance,commercial leadership,Critical,20,Open,Ambiguous,add SQL validation evidence
REQ-RPT022-4,RPT022,access,commercial leadership,Critical,24,Waiting on stakeholder,Ambiguous,create stakeholder FAQ
REQ-RPT022-5,RPT022,access,commercial leadership,Low,21,In review,Needs acceptance criteria,add SQL validation evidence
REQ-RPT022-6,RPT022,training,commercial leadership,Medium,17,Waiting on stakeholder,Needs acceptance criteria,schedule metric walkthrough
REQ-RPT022-7,RPT022,data anomaly,commercial leadership,Low,42,Closed,Needs acceptance criteria,publish annotated workbook
REQ-RPT023-1,RPT023,performance,national customer team,Low,5,In review,Ambiguous,confirm business owner
REQ-RPT023-2,RPT023,data anomaly,national customer team,High,33,In review,Ambiguous,schedule metric walkthrough
REQ-RPT023-3,RPT023,new metric,national customer team,Medium,2,Waiting on stakeholder,Clear,create stakeholder FAQ
REQ-RPT023-4,RPT023,training,national customer team,Low,19,Waiting on stakeholder,Needs acceptance criteria,confirm business owner
REQ-RPT024-1,RPT024,performance,bottler finance leads,Critical,39,Open,Clear,schedule metric walkthrough
REQ-RPT024-2,RPT024,performance,bottler finance leads,Medium,14,In review,Clear,add SQL validation evidence
REQ-RPT024-3,RPT024,data anomaly,bottler finance leads,High,1,Waiting on stakeholder,Clear,add SQL validation evidence
REQ-RPT024-4,RPT024,definition clarification,bottler finance leads,Critical,21,Waiting on stakeholder,Ambiguous,publish annotated workbook
REQ-RPT024-5,RPT024,access,bottler finance leads,Critical,34,Closed,Clear,separate one-off extract from recurring report
REQ-RPT024-6,RPT024,custom extract,bottler finance leads,Medium,31,Closed,Ambiguous,confirm business owner
REQ-RPT024-7,RPT024,definition clarification,bottler finance leads,Medium,16,In review,Clear,add SQL validation evidence
REQ-RPT025-1,RPT025,custom extract,category management,High,10,Open,Clear,confirm business owner
REQ-RPT025-2,RPT025,training,category management,High,21,Closed,Needs acceptance criteria,create stakeholder FAQ
REQ-RPT025-3,RPT025,new metric,category management,Critical,43,In review,Ambiguous,separate one-off extract from recurring report
REQ-RPT025-4,RPT025,custom extract,category management,High,4,Closed,Needs acceptance criteria,schedule metric walkthrough
REQ-RPT025-5,RPT025,new metric,category management,Medium,5,Waiting on stakeholder,Clear,separate one-off extract from recurring report
REQ-RPT025-6,RPT025,definition clarification,category management,Critical,16,In review,Ambiguous,create stakeholder FAQ
REQ-RPT025-7,RPT025,training,category management,Medium,14,Waiting on stakeholder,Ambiguous,create stakeholder FAQ
REQ-RPT026-1,RPT026,definition clarification,field sales operations,High,19,Closed,Ambiguous,schedule metric walkthrough
REQ-RPT026-2,RPT026,data anomaly,field sales operations,Low,15,Waiting on stakeholder,Ambiguous,create stakeholder FAQ
REQ-RPT026-3,RPT026,access,field sales operations,Medium,28,Waiting on stakeholder,Needs acceptance criteria,separate one-off extract from recurring report
REQ-RPT026-4,RPT026,new metric,field sales operations,Low,39,In review,Ambiguous,confirm business owner
REQ-RPT026-5,RPT026,performance,field sales operations,Low,20,In review,Needs acceptance criteria,publish annotated workbook
REQ-RPT026-6,RPT026,training,field sales operations,High,12,Waiting on stakeholder,Ambiguous,separate one-off extract from recurring report
REQ-RPT027-1,RPT027,data anomaly,supply planning,Critical,42,Open,Needs acceptance criteria,separate one-off extract from recurring report
REQ-RPT027-2,RPT027,performance,supply planning,Low,16,Waiting on stakeholder,Ambiguous,create stakeholder FAQ
REQ-RPT027-3,RPT027,custom extract,supply planning,High,5,In review,Ambiguous,add SQL validation evidence
REQ-RPT027-4,RPT027,custom extract,supply planning,Low,30,Waiting on stakeholder,Ambiguous,schedule metric walkthrough
REQ-RPT027-5,RPT027,performance,supply planning,High,2,Waiting on stakeholder,Ambiguous,confirm business owner
REQ-RPT027-6,RPT027,data anomaly,supply planning,High,4,Waiting on stakeholder,Ambiguous,add SQL validation evidence
REQ-RPT027-7,RPT027,custom extract,supply planning,High,27,Waiting on stakeholder,Clear,publish annotated workbook
REQ-RPT028-1,RPT028,access,commercial leadership,Low,43,Closed,Clear,schedule metric walkthrough
REQ-RPT028-2,RPT028,performance,commercial leadership,High,38,Closed,Clear,separate one-off extract from recurring report
REQ-RPT028-3,RPT028,access,commercial leadership,Medium,22,In review,Clear,publish annotated workbook
REQ-RPT028-4,RPT028,new metric,commercial leadership,High,35,Waiting on stakeholder,Needs acceptance criteria,add SQL validation evidence
REQ-RPT029-1,RPT029,custom extract,national customer team,High,18,In review,Ambiguous,schedule metric walkthrough
REQ-RPT029-2,RPT029,definition clarification,national customer team,High,17,Open,Clear,confirm business owner
REQ-RPT029-3,RPT029,data anomaly,national customer team,Medium,7,Waiting on stakeholder,Clear,create stakeholder FAQ
REQ-RPT029-4,RPT029,performance,national customer team,Critical,16,Open,Needs acceptance criteria,separate one-off extract from recurring report
REQ-RPT029-5,RPT029,data anomaly,national customer team,Low,3,In review,Needs acceptance criteria,separate one-off extract from recurring report
REQ-RPT030-1,RPT030,data anomaly,bottler finance leads,Medium,25,In review,Clear,add SQL validation evidence
REQ-RPT030-2,RPT030,definition clarification,bottler finance leads,High,24,Waiting on stakeholder,Ambiguous,create stakeholder FAQ
REQ-RPT030-3,RPT030,custom extract,bottler finance leads,Medium,33,Waiting on stakeholder,Ambiguous,create stakeholder FAQ
REQ-RPT030-4,RPT030,training,bottler finance leads,Critical,23,Closed,Ambiguous,separate one-off extract from recurring report
REQ-RPT030-5,RPT030,data anomaly,bottler finance leads,Medium,39,In review,Ambiguous,confirm business owner
REQ-RPT031-1,RPT031,data anomaly,category management,Low,2,Waiting on stakeholder,Clear,confirm business owner
REQ-RPT031-2,RPT031,performance,category management,High,29,Closed,Ambiguous,publish annotated workbook
REQ-RPT031-3,RPT031,custom extract,category management,Low,44,Waiting on stakeholder,Needs acceptance criteria,publish annotated workbook
REQ-RPT031-4,RPT031,definition clarification,category management,Medium,39,Closed,Ambiguous,publish annotated workbook
REQ-RPT031-5,RPT031,new metric,category management,Low,36,Closed,Needs acceptance criteria,separate one-off extract from recurring report
REQ-RPT031-6,RPT031,definition clarification,category management,High,26,Open,Needs acceptance criteria,add SQL validation evidence
REQ-RPT032-1,RPT032,custom extract,field sales operations,Critical,11,Waiting on stakeholder,Ambiguous,separate one-off extract from recurring report
REQ-RPT032-2,RPT032,access,field sales operations,Critical,1,In review,Clear,create stakeholder FAQ
REQ-RPT032-3,RPT032,new metric,field sales operations,Critical,23,Closed,Needs acceptance criteria,schedule metric walkthrough
REQ-RPT032-4,RPT032,custom extract,field sales operations,Low,43,In review,Clear,create stakeholder FAQ
REQ-RPT032-5,RPT032,training,field sales operations,Medium,3,Waiting on stakeholder,Needs acceptance criteria,confirm business owner
REQ-RPT032-6,RPT032,new metric,field sales operations,Critical,19,In review,Ambiguous,schedule metric walkthrough
