action_id,report_id,action_type,expected_lift_pct,effort_hours,owner_group,status
ACT078,RPT025,metric certification,11.9,36,finance analytics,Ready
ACT079,RPT022,stakeholder requirement clarification,3.4,8,reporting services,Queued
ACT080,RPT027,stakeholder requirement clarification,11.1,32,reporting services,Queued
ACT081,RPT020,refresh performance tuning,6.4,35,finance analytics,Queued
ACT082,RPT027,metric certification,6.4,7,governance and training,In progress
ACT083,RPT030,refresh performance tuning,5.3,22,finance analytics,Ready
ACT084,RPT019,source quality remediation,2.5,28,governance and training,Needs stakeholder input
ACT085,RPT011,metric certification,12.8,30,finance analytics,Ready
ACT086,RPT002,training and documentation,3.9,6,data strategy,In progress
ACT087,RPT002,training and documentation,5.5,33,reporting services,Ready
ACT088,RPT009,stakeholder requirement clarification,10.9,21,reporting services,Needs stakeholder input
ACT089,RPT029,refresh performance tuning,8.7,25,finance analytics,Ready
ACT090,RPT011,refresh performance tuning,7.9,16,BI delivery,In progress
ACT091,RPT016,refresh performance tuning,12.3,8,finance analytics,Queued
ACT092,RPT023,stakeholder requirement clarification,13.0,8,data strategy,Queued
ACT093,RPT017,training and documentation,8.8,13,data strategy,Queued
ACT094,RPT024,stakeholder requirement clarification,2.2,13,reporting services,Needs stakeholder input
ACT095,RPT021,refresh performance tuning,2.5,8,customer data operations,Queued
ACT096,RPT030,training and documentation,11.1,23,BI delivery,Needs stakeholder input
ACT097,RPT009,stakeholder requirement clarification,11.8,14,data strategy,In progress
ACT098,RPT004,source quality remediation,4.1,31,reporting services,Ready
ACT099,RPT009,stakeholder requirement clarification,10.8,4,customer data operations,Ready
ACT100,RPT032,refresh performance tuning,4.4,20,reporting services,Queued
ACT101,RPT014,training and documentation,10.0,2,data strategy,In progress
ACT102,RPT014,source quality remediation,10.6,27,reporting services,Ready
ACT103,RPT026,source quality remediation,8.9,37,governance and training,In progress
ACT104,RPT003,source quality remediation,5.6,8,reporting services,Ready
ACT105,RPT018,source quality remediation,13.3,8,customer data operations,Queued
ACT106,RPT013,refresh performance tuning,13.0,25,BI delivery,Needs stakeholder input
ACT107,RPT020,stakeholder requirement clarification,6.0,26,BI delivery,Queued
ACT108,RPT016,training and documentation,5.1,32,data strategy,Queued
ACT109,RPT017,metric certification,12.6,25,data strategy,Ready
ACT110,RPT026,metric certification,13.5,16,finance analytics,Ready
ACT111,RPT001,training and documentation,6.1,35,finance analytics,Queued
ACT112,RPT031,training and documentation,12.1,12,data strategy,Needs stakeholder input
ACT113,RPT004,stakeholder requirement clarification,7.6,25,customer data operations,Queued
ACT114,RPT015,training and documentation,6.1,24,customer data operations,Queued
ACT115,RPT024,stakeholder requirement clarification,8.4,35,data strategy,Needs stakeholder input
ACT116,RPT014,stakeholder requirement clarification,8.5,30,reporting services,In progress
ACT117,RPT003,metric certification,12.4,25,customer data operations,Queued
ACT118,RPT013,stakeholder requirement clarification,1.5,10,customer data operations,In progress
ACT119,RPT001,stakeholder requirement clarification,9.9,2,reporting services,Needs stakeholder input
ACT120,RPT030,training and documentation,1.8,31,reporting services,Ready
ACT121,RPT022,refresh performance tuning,10.0,27,reporting services,Needs stakeholder input
ACT122,RPT003,refresh performance tuning,5.5,27,finance analytics,In progress
ACT123,RPT009,source quality remediation,4.0,20,data strategy,Ready
ACT124,RPT017,source quality remediation,1.7,27,data strategy,Ready
ACT125,RPT007,metric certification,11.8,38,customer data operations,Ready
ACT126,RPT016,refresh performance tuning,11.0,23,finance analytics,Ready
ACT127,RPT006,training and documentation,13.8,11,BI delivery,Queued
ACT128,RPT026,metric certification,3.2,11,data strategy,Queued
ACT129,RPT027,metric certification,4.9,10,governance and training,Needs stakeholder input
ACT130,RPT022,training and documentation,3.2,18,governance and training,Queued
ACT131,RPT011,training and documentation,4.5,11,data strategy,Queued
ACT132,RPT004,metric certification,1.8,14,data strategy,In progress
ACT133,RPT011,stakeholder requirement clarification,9.7,12,reporting services,Queued
ACT134,RPT022,metric certification,9.5,33,finance analytics,Ready
ACT135,RPT015,training and documentation,4.4,12,finance analytics,Needs stakeholder input
ACT136,RPT025,metric certification,9.5,33,customer data operations,Queued
ACT137,RPT018,stakeholder requirement clarification,4.9,33,customer data operations,Needs stakeholder input
ACT138,RPT004,stakeholder requirement clarification,10.9,31,customer data operations,Needs stakeholder input
ACT139,RPT014,refresh performance tuning,2.4,19,BI delivery,Queued
ACT140,RPT001,refresh performance tuning,2.0,5,customer data operations,Queued
ACT141,RPT016,refresh performance tuning,2.2,33,data strategy,Ready
ACT142,RPT022,refresh performance tuning,7.4,12,customer data operations,Ready
ACT143,RPT032,source quality remediation,6.9,11,reporting services,Needs stakeholder input
ACT144,RPT031,refresh performance tuning,12.3,14,finance analytics,Queued
ACT145,RPT020,source quality remediation,13.3,11,BI delivery,Needs stakeholder input
ACT146,RPT028,source quality remediation,8.9,12,data strategy,Queued
ACT147,RPT015,source quality remediation,8.0,7,data strategy,Needs stakeholder input
ACT148,RPT012,source quality remediation,4.2,3,customer data operations,Queued
ACT149,RPT032,metric certification,11.1,20,BI delivery,Ready
ACT150,RPT018,training and documentation,2.4,21,reporting services,Queued
ACT151,RPT012,stakeholder requirement clarification,13.8,18,reporting services,In progress
ACT152,RPT029,metric certification,8.0,38,data strategy,Queued
ACT153,RPT023,metric certification,5.0,12,governance and training,Queued
ACT154,RPT013,refresh performance tuning,5.0,24,data strategy,Needs stakeholder input
ACT155,RPT015,source quality remediation,10.4,30,finance analytics,Needs stakeholder input
ACT156,RPT006,stakeholder requirement clarification,1.8,17,BI delivery,Needs stakeholder input
ACT157,RPT022,stakeholder requirement clarification,7.5,38,reporting services,Ready
ACT158,RPT012,training and documentation,11.6,32,data strategy,Queued
ACT159,RPT012,source quality remediation,1.7,32,BI delivery,In progress
ACT160,RPT005,stakeholder requirement clarification,6.9,21,finance analytics,Needs stakeholder input
ACT161,RPT026,refresh performance tuning,5.1,24,data strategy,Ready
ACT162,RPT018,stakeholder requirement clarification,4.6,25,governance and training,In progress
ACT163,RPT024,metric certification,8.4,26,finance analytics,Queued
ACT164,RPT009,refresh performance tuning,12.1,2,governance and training,Queued
ACT165,RPT022,source quality remediation,10.0,25,governance and training,Needs stakeholder input
ACT166,RPT007,metric certification,10.8,5,reporting services,Needs stakeholder input
ACT167,RPT027,source quality remediation,9.7,6,data strategy,In progress
ACT168,RPT027,refresh performance tuning,6.8,34,BI delivery,Needs stakeholder input
ACT169,RPT004,training and documentation,8.6,21,customer data operations,Ready
ACT170,RPT016,source quality remediation,6.8,19,data strategy,Needs stakeholder input
ACT171,RPT021,source quality remediation,13.7,11,BI delivery,In progress
ACT172,RPT021,training and documentation,12.1,16,data strategy,In progress
ACT173,RPT005,training and documentation,13.9,21,BI delivery,Queued
ACT174,RPT031,metric certification,5.8,19,data strategy,Ready
ACT175,RPT003,stakeholder requirement clarification,2.3,28,finance analytics,Queued
ACT176,RPT002,stakeholder requirement clarification,12.9,25,data strategy,Ready
ACT177,RPT012,source quality remediation,13.9,12,governance and training,In progress
ACT178,RPT018,stakeholder requirement clarification,7.1,30,finance analytics,In progress
ACT179,RPT004,refresh performance tuning,7.0,26,reporting services,Needs stakeholder input
ACT180,RPT011,stakeholder requirement clarification,6.7,16,BI delivery,In progress
ACT181,RPT002,refresh performance tuning,8.1,4,governance and training,Ready
ACT182,RPT003,metric certification,3.2,20,finance analytics,Ready
ACT183,RPT024,refresh performance tuning,9.1,21,data strategy,Ready
ACT184,RPT008,stakeholder requirement clarification,7.5,3,BI delivery,Needs stakeholder input
ACT185,RPT017,stakeholder requirement clarification,2.4,5,governance and training,Ready
ACT186,RPT029,source quality remediation,10.2,6,governance and training,Needs stakeholder input
ACT187,RPT012,metric certification,5.0,15,BI delivery,In progress
ACT188,RPT019,metric certification,12.6,7,data strategy,Ready
ACT189,RPT004,refresh performance tuning,2.0,19,governance and training,Queued
ACT190,RPT005,metric certification,11.5,25,BI delivery,Queued
ACT191,RPT006,training and documentation,10.6,34,customer data operations,Needs stakeholder input
ACT192,RPT003,refresh performance tuning,6.7,29,customer data operations,Needs stakeholder input
ACT193,RPT008,training and documentation,3.0,35,data strategy,Needs stakeholder input
ACT194,RPT005,training and documentation,6.5,38,reporting services,Ready
ACT195,RPT018,source quality remediation,13.1,32,BI delivery,Queued
ACT196,RPT005,training and documentation,11.2,36,customer data operations,Ready
ACT197,RPT007,training and documentation,3.0,7,governance and training,In progress
ACT198,RPT012,refresh performance tuning,12.1,18,data strategy,Needs stakeholder input
ACT199,RPT013,training and documentation,2.9,27,BI delivery,In progress
ACT200,RPT021,metric certification,9.4,33,data strategy,Needs stakeholder input
ACT201,RPT023,source quality remediation,3.0,4,customer data operations,Queued
ACT202,RPT032,metric certification,3.8,2,customer data operations,Queued
ACT203,RPT021,metric certification,8.3,21,reporting services,Queued
ACT204,RPT020,metric certification,8.4,29,governance and training,Ready
ACT205,RPT028,stakeholder requirement clarification,3.1,16,data strategy,In progress
ACT206,RPT003,metric certification,9.9,38,data strategy,Ready
ACT207,RPT007,training and documentation,11.2,3,finance analytics,Ready
ACT208,RPT011,stakeholder requirement clarification,7.1,9,finance analytics,Queued
ACT209,RPT012,stakeholder requirement clarification,8.0,21,governance and training,Ready
ACT210,RPT022,stakeholder requirement clarification,12.3,18,finance analytics,Queued
ACT211,RPT023,training and documentation,9.4,21,governance and training,Needs stakeholder input
ACT212,RPT003,source quality remediation,6.6,18,governance and training,Queued
ACT213,RPT031,source quality remediation,8.2,29,governance and training,In progress
ACT214,RPT028,training and documentation,8.4,7,BI delivery,Needs stakeholder input
ACT215,RPT005,source quality remediation,8.6,10,governance and training,In progress
ACT216,RPT010,training and documentation,3.9,29,customer data operations,In progress
ACT217,RPT032,stakeholder requirement clarification,8.0,26,customer data operations,In progress
ACT218,RPT005,metric certification,7.7,34,governance and training,Queued
ACT219,RPT017,metric certification,7.8,16,governance and training,Needs stakeholder input
ACT220,RPT006,source quality remediation,3.9,8,reporting services,In progress
