report_id,report_name,domain,business_context,audience,owner_group,workspace,source_system,refresh_cadence,power_bi_asset_type,complexity,rls_required,decision_value,doc_status,published_state
RPT018,Executive KPI Overview,FP&A Planning,"forecasting, plan variance, and scenario routines",bottler finance leads,reporting services,Planning and Forecasting,trade program system,Intraday,Dashboard,High,No,95000,Needs update,Legacy
RPT019,Channel Penetration Trends,Customer Programs,customer program funding and compliance,category management,customer data operations,Reporting Services,planning workbook intake,Daily,Dashboard,High,Yes,119000,Missing,Draft
RPT020,Stakeholder Request Backlog,Retailer POS,sell-through and syndicated retail performance,field sales operations,finance analytics,Commercial Insights,distributor reconciliation feed,Daily,Paginated report,High,No,142000,Current,Legacy
RPT021,Store Count Reconciliation,Bottler Invoice,invoice-level bottler sales and adjustments,supply planning,governance and training,Customer Operations,customer EDI gateway,Weekly,Semantic model,Low,Yes,239000,Current,Draft
RPT022,Funding Claim Audit,Distributor Data,secondary sales and distributor reconciliation,commercial leadership,BI delivery,Bottler Finance,bottler invoice hub,Daily,Semantic model,High,No,184000,Current,Certified
RPT023,Planning Assumption Tracker,Customer Hierarchy,"customer, banner, outlet, and route alignment",national customer team,data strategy,Planning and Forecasting,retailer POS feed,Intraday,Dashboard,High,Yes,137000,Needs update,Draft
RPT024,Data Stewardship Queue,FP&A Planning,"forecasting, plan variance, and scenario routines",bottler finance leads,reporting services,Reporting Services,customer hierarchy master,Daily,Dashboard,Low,Yes,69000,Missing,Legacy
RPT025,Power BI Usage and Training,Customer Programs,customer program funding and compliance,category management,customer data operations,Commercial Insights,trade program system,Daily,Semantic model,Low,Yes,191000,Needs update,Promoted
RPT026,Source Refresh Reliability,Retailer POS,sell-through and syndicated retail performance,field sales operations,finance analytics,Customer Operations,planning workbook intake,Intraday,Semantic model,Medium,Yes,190000,Missing,Promoted
RPT027,Metric Definition Catalog,Bottler Invoice,invoice-level bottler sales and adjustments,supply planning,governance and training,Bottler Finance,distributor reconciliation feed,Intraday,Paginated report,High,No,134000,Missing,Legacy
RPT028,Variance Contribution Workbench,Distributor Data,secondary sales and distributor reconciliation,commercial leadership,BI delivery,Planning and Forecasting,customer EDI gateway,Daily,Dashboard,Low,No,118000,Current,Promoted
RPT029,Churn and Penetration Monitor,Customer Hierarchy,"customer, banner, outlet, and route alignment",national customer team,data strategy,Reporting Services,bottler invoice hub,Daily,Dashboard,High,Yes,111000,Missing,Certified
RPT030,Change Contribution Review,FP&A Planning,"forecasting, plan variance, and scenario routines",bottler finance leads,reporting services,Commercial Insights,retailer POS feed,Daily,Paginated report,Low,Yes,72000,Missing,Promoted
RPT031,Sales Team Service Desk,Customer Programs,customer program funding and compliance,category management,customer data operations,Customer Operations,customer hierarchy master,Intraday,Semantic model,Medium,Yes,226000,Current,Legacy
RPT032,External Reporting Package,Retailer POS,sell-through and syndicated retail performance,field sales operations,finance analytics,Bottler Finance,trade program system,Intraday,Semantic model,Low,Yes,176000,Current,Legacy
