report_id,report_name,source_system,pipeline_stage,dependency_tier,owner,last_validated_days,open_exception,business_impact,risk_score
RPT003,Retailer POS Sell-Through,customer hierarchy master,landing,Important,data strategy,1,No,incorrect segmentation,36.4
RPT031,Sales Team Service Desk,customer hierarchy master,semantic model,Standard,BI delivery,33,No,late invoice adjustment,35.2
RPT004,Trade Program Funding Tracker,trade program system,published report,Important,governance and training,25,No,none,34.0
RPT013,Monthly Business Review Pack,distributor reconciliation feed,validation,Standard,BI delivery,29,No,incorrect segmentation,33.6
RPT014,Invoice Adjustment Explorer,customer EDI gateway,published report,Standard,customer data operations,29,No,missing store mapping,33.6
RPT028,Variance Contribution Workbench,customer EDI gateway,landing,Standard,BI delivery,25,No,late invoice adjustment,32.0
RPT003,Retailer POS Sell-Through,customer hierarchy master,warehouse model,Standard,governance and training,53,No,none,31.2
RPT032,External Reporting Package,trade program system,warehouse model,Standard,customer data operations,23,No,metric delay,31.2
RPT032,External Reporting Package,trade program system,semantic model,Standard,customer data operations,21,No,incorrect segmentation,30.4
RPT030,Change Contribution Review,retailer POS feed,landing,Standard,BI delivery,20,No,missing store mapping,30.0
RPT017,Program Accrual Watchlist,customer hierarchy master,semantic model,Standard,reporting services,18,No,incorrect segmentation,29.2
RPT020,Stakeholder Request Backlog,distributor reconciliation feed,validation,Standard,governance and training,17,No,incorrect segmentation,28.8
RPT003,Retailer POS Sell-Through,customer hierarchy master,published report,Standard,customer data operations,14,No,late invoice adjustment,27.6
RPT021,Store Count Reconciliation,customer EDI gateway,landing,Standard,reporting services,12,No,late invoice adjustment,26.8
RPT018,Executive KPI Overview,trade program system,semantic model,Important,governance and training,5,No,none,26.0
RPT020,Stakeholder Request Backlog,distributor reconciliation feed,warehouse model,Standard,governance and training,10,No,late invoice adjustment,26.0
RPT009,Pricing Exception Digest,retailer POS feed,warehouse model,Standard,BI delivery,8,No,metric delay,25.2
RPT010,Customer Onboarding Readiness,customer hierarchy master,warehouse model,Standard,reporting services,8,No,metric delay,25.2
RPT012,Route-to-Market Snapshot,planning workbook intake,warehouse model,Important,BI delivery,3,No,none,25.2
RPT030,Change Contribution Review,retailer POS feed,warehouse model,Standard,data strategy,7,No,incorrect segmentation,24.8
RPT003,Retailer POS Sell-Through,customer hierarchy master,validation,Important,data strategy,0,No,none,24.0
RPT030,Change Contribution Review,retailer POS feed,published report,Standard,customer data operations,2,No,incorrect segmentation,22.8
RPT027,Metric Definition Catalog,distributor reconciliation feed,landing,Standard,BI delivery,0,No,metric delay,22.0
RPT028,Variance Contribution Workbench,customer EDI gateway,warehouse model,Standard,finance analytics,28,No,none,21.2
RPT032,External Reporting Package,trade program system,landing,Standard,finance analytics,13,No,none,15.2
RPT030,Change Contribution Review,retailer POS feed,semantic model,Standard,data strategy,9,No,none,13.6
